n;player;season;team;position;games_played;games_started;wins;losses;overtime_losses;shots_against;saves;goals_against;save_percentage;goal_against_average;time_on_ice;shutouts;goals;assists;points;penalty_minutes
257;Martin Brodeur;2014-15;STL;G;7;5;3;3;0;169;152;17;0.899;2.87;355:43;1;0;0;0;0
258;Jason LaBarbera;2014-15;ANA;G;5;2;2;0;1;99;90;9;0.909;2.6;207:28;0;0;0;0;0
259;Mackenzie Skapski;2014-15;NYR;G;2;2;2;0;0;45;44;1;0.978;0.5;119:05;1;0;0;0;0
260;Philipp Grubauer;2014-15;WSH;G;1;1;1;0;0;25;23;2;0.92;1.85;65:00;0;0;0;0;0
261;Ilya Bryzgalov;2014-15;ANA;G;8;6;1;4;1;150;127;23;0.847;4.19;329:29;0;0;2;2;0
262;Louis Domingue;2014-15;ARI;G;7;4;1;2;1;158;144;14;0.911;2.73;307:45;0;0;0;0;0
263;Tom McCollum;2014-15;DET;G;2;0;1;0;0;25;24;1;0.96;0.91;65:54;0;0;0;0;0
264;Troy Grosenick;2014-15;SJS;G;2;2;1;1;0;58;55;3;0.948;1.52;118:22;1;0;0;0;0
265;Jacob Markstrom;2014-15;VAN;G;3;2;1;1;0;33;29;4;0.879;3.09;77:38;0;0;0;0;0
266;Jussi Rynnas;2014-15;DAL;G;2;1;0;1;0;44;37;7;0.841;4.54;92:25;0;0;0;0;0
267;Mike McKenna;2014-15;ARI;G;1;1;0;1;0;34;29;5;0.853;5;60:00;0;0;0;0;0
268;Jeff Zatkoff;2014-15;PIT;G;1;0;0;1;0;17;16;1;0.941;1.63;36:45;0;0;0;0;0
269;Matt Hackett;2014-15;BUF;G;5;4;0;4;1;155;137;18;0.884;4.32;250:15;0;0;0;0;0
270;Tyler Bunz;2014-15;EDM;G;1;0;0;0;0;12;9;3;0.75;9;20:00;0;0;0;0;0
271;Chris Driedger;2014-15;OTT;G;1;0;0;0;0;10;10;0;1;--;22:52;0;0;0;0;0
272;Marek Mazanec;2014-15;NSH;G;2;1;0;1;0;47;43;4;0.915;2.27;105:44;0;0;0;0;0
273;Malcolm Subban;2014-15;BOS;G;1;1;0;1;0;6;3;3;0.5;5.76;31:15;0;0;0;0;0
274;Andrey Makarov;2014-15;BUF;G;1;1;0;1;0;36;33;3;0.917;3;60:00;0;0;0;0;0
275;John Curry;2014-15;MIN;G;2;1;0;0;1;25;20;5;0.8;4.18;71:51;0;0;0;0;0
276;Kevin Poulin;2014-15;NYI;G;1;1;0;0;1;26;23;3;0.885;2.77;65:00;0;0;0;0;0
277;Laurent Brossoit;2014-15;EDM;G;1;1;0;1;0;51;49;2;0.961;2.01;59:36;0;0;0;0;0
278;Scott Clemmensen;2014-15;NJD;G;3;1;0;0;1;54;46;8;0.852;4.73;101:35;0;0;0;0;0
279;Anton Forsberg;2014-15;CBJ;G;5;5;0;4;0;149;129;20;0.866;4.69;255:43;0;0;0;0;0
